Season,Team,Score,Country,Flag
1955–56,Real Madrid,4,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1955–56,Reims,3,France,23px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png
1955–56,Hibernian,2,Scotland,23px-Flag_of_Scotland.svg.png
1955–56,Milan,2,Italy,23px-Flag_of_Italy.svg.png
1955–56,Djurgården,1,Sweden,23px-Flag_of_Sweden.svg.png
1955–56,Vörös Lobogó,1,Hungary,23px-Flag_of_Hungary_%281949-1956%3B_1-2_aspect_ratio%29.svg.png
1955–56,Partizan,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1955–56,Rapid Wien,1,Austria,23px-Flag_of_Austria.svg.png
1956–57,Real Madrid,4,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1956–57,Fiorentina,3,Italy,23px-Flag_of_Italy.svg.png
1956–57,Red Star Belgrade,2,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1956–57,Manchester United,2,England,23px-Flag_of_England.svg.png
1956–57,Athletic Bilbao,1,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1956–57,Grasshopper,1,Switzerland,16px-Flag_of_Switzerland_%28Pantone%29.svg.png
1956–57,Nice,1,France,23px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png
1956–57,CDNA Sofia,1,Bulgaria,23px-Flag_of_Bulgaria.svg.png
1957–58,Real Madrid,4,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1957–58,Milan,3,Italy,23px-Flag_of_Italy.svg.png
1957–58,Vasas,2,Hungary,23px-Flag_of_Hungary.svg.png
1957–58,Manchester United,2,England,23px-Flag_of_England.svg.png
1957–58,Red Star Belgrade,1,Socialist Federal Republic of Yugoslavia,23px-Flag_of_Yugoslavia_%281946-1992%29.svg.png
1957–58,Sevilla,1,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1957–58,Ajax,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1957–58,Borussia Dortmund,1,West Germany,23px-Flag_of_Germany.svg.png
1958–59,Real Madrid,4,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1958–59,Reims,3,France,23px-Flag_of_France.svg.png
1958–59,Young Boys,2,Switzerland,16px-Flag_of_Switzerland_%28Pantone%29.svg.png
1958–59,Atlético Madrid,2,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1958–59,Standard Liège,1,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1958–59,Schalke 04,1,West Germany,23px-Flag_of_Germany.svg.png
1958–59,Wiener Sport-Club,1,Austria,23px-Flag_of_Austria.svg.png
1958–59,Wismut Karl Marx Stadt,1,East Germany,23px-Flag_of_Germany.svg.png
1959–60,Real Madrid,4,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1959–60,Eintracht Frankfurt,3,West Germany,23px-Flag_of_Germany.svg.png
1959–60,Rangers,2,Scotland,23px-Flag_of_Scotland.svg.png
1959–60,Barcelona,2,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1959–60,Nice,1,France,23px-Flag_of_France.svg.png
1959–60,Wolverhampton Wanderers,1,England,23px-Flag_of_England.svg.png
1959–60,Wiener Sportclub,1,Austria,23px-Flag_of_Austria.svg.png
1959–60,Sparta Rotterdam,1,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1960–61,Benfica,4,Portugal,23px-Flag_of_Portugal.svg.png
1960–61,Barcelona,3,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1960–61,Rapid Wien,2,Austria,23px-Flag_of_Austria.svg.png
1960–61,Hamburg,2,West Germany,23px-Flag_of_Germany.svg.png
1960–61,AGF,1,Denmark,20px-Flag_of_Denmark.svg.png
1960–61,Spartak Hradec Králové,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1960–61,Burnley,1,England,23px-Flag_of_England.svg.png
1960–61,IFK Malmö,1,Sweden,23px-Flag_of_Sweden.svg.png
1961–62,Benfica,4,Portugal,23px-Flag_of_Portugal.svg.png
1961–62,Real Madrid,3,Spain,23px-Flag_of_Spain_%281945%E2%80%931977%29.svg.png
1961–62,Tottenham Hotspur,2,England,23px-Flag_of_England.svg.png
1961–62,Standard Liège,2,Belgium,23px-Flag_of_Belgium_%28civil%29.svg.png
1961–62,Nürnberg,1,West Germany,23px-Flag_of_Germany.svg.png
1961–62,Dukla Prague,1,Czechoslovakia,23px-Flag_of_the_Czech_Republic.svg.png
1961–62,Juventus,1,Italy,23px-Flag_of_Italy.svg.png
1961–62,Rangers,1,Scotland,23px-Flag_of_Scotland.svg.png
1962–63,Milan,4,Italy,23px-Flag_of_Italy.svg.png
1962–63,Benfica,3,Portugal,23px-Flag_of_Portugal.svg.png
1962–63,Dundee,2,Scotland,23px-Flag_of_Scotland.svg.png
1962–63,Feyenoord,2,Netherlands,23px-Flag_of_the_Netherlands.svg.png
1962–63,Galatasaray,1,Turkey,23px-Flag_of_Turkey.svg.png
